model,dataset,rdbms,prompt_tokens_bin,n_queries,prompt_tokens_mean,execution_accuracy_pct
gpt2xl,atis,mariadb,220–309,146,286.01,0.0
qwen,atis,mariadb,220–309,0,,
gpt2xl,atis,mariadb,309–435,2,310.5,0.0
qwen,atis,mariadb,309–435,98,423.59,0.0
gpt2xl,atis,mariadb,435–461,0,,
qwen,atis,mariadb,435–461,353,450.11,0.0
gpt2xl,atis,mariadb,461–488,0,,
qwen,atis,mariadb,461–488,466,472.67,0.0
gpt2xl,atis,mariadb,488–662,264,582.31,0.0
qwen,atis,mariadb,488–662,195,499.94,0.0
gpt2xl,atis,mysql,67–76,0,,
qwen,atis,mysql,67–76,0,,
gpt2xl,atis,mysql,76–137,0,,
qwen,atis,mysql,76–137,0,,
gpt2xl,atis,mysql,137–220,10,200.7,0.0
qwen,atis,mysql,137–220,0,,
gpt2xl,atis,mysql,220–309,146,286.01,0.0
qwen,atis,mysql,220–309,0,,
gpt2xl,atis,mysql,309–435,2,310.5,0.0
qwen,atis,mysql,309–435,84,427.14,0.0
gpt2xl,atis,mysql,435–461,0,,
qwen,atis,mysql,435–461,382,452.6,0.78534
gpt2xl,atis,mysql,461–488,0,,
qwen,atis,mysql,461–488,674,472.94,1.038576
gpt2xl,atis,mysql,488–662,264,582.29,0.0
qwen,atis,mysql,488–662,410,501.96,0.97561
gpt2xl,imdb,mariadb,67–76,0,,
qwen,imdb,mariadb,67–76,0,,
gpt2xl,imdb,mariadb,76–137,22,133.55,0.0
qwen,imdb,mariadb,76–137,74,130.65,12.162162
gpt2xl,imdb,mariadb,137–220,105,151.07,0.0
qwen,imdb,mariadb,137–220,56,145.79,32.142857
gpt2xl,imdb,mariadb,220–309,0,,
qwen,imdb,mariadb,220–309,0,,
gpt2xl,imdb,mariadb,309–435,0,,
qwen,imdb,mariadb,309–435,0,,
gpt2xl,imdb,mariadb,435–461,0,,
qwen,imdb,mariadb,435–461,0,,
gpt2xl,imdb,mariadb,461–488,0,,
qwen,imdb,mariadb,461–488,0,,
gpt2xl,imdb,mariadb,488–662,0,,
qwen,imdb,mariadb,488–662,0,,
gpt2xl,imdb,mysql,67–76,0,,
qwen,imdb,mysql,67–76,0,,
gpt2xl,imdb,mysql,76–137,19,133.74,0.0
qwen,imdb,mysql,76–137,73,130.59,12.328767
gpt2xl,imdb,mysql,137–220,99,150.89,0.0
qwen,imdb,mysql,137–220,50,145.94,34.0
gpt2xl,imdb,mysql,220–309,0,,
qwen,imdb,mysql,220–309,0,,
gpt2xl,imdb,mysql,309–435,0,,
qwen,imdb,mysql,309–435,0,,
gpt2xl,imdb,mysql,435–461,0,,
qwen,imdb,mysql,435–461,0,,
gpt2xl,imdb,mysql,461–488,0,,
qwen,imdb,mysql,461–488,0,,
gpt2xl,imdb,mysql,488–662,0,,
qwen,imdb,mysql,488–662,0,,
gpt2xl,yelp,mariadb,67–76,0,,
qwen,yelp,mariadb,67–76,0,,
gpt2xl,yelp,mariadb,76–137,4,132.75,0.0
qwen,yelp,mariadb,76–137,29,130.97,6.896552
gpt2xl,yelp,mariadb,137–220,120,159.87,0.0
qwen,yelp,mariadb,137–220,99,148.44,16.161616
gpt2xl,yelp,mariadb,220–309,0,,
qwen,yelp,mariadb,220–309,0,,
gpt2xl,yelp,mariadb,309–435,0,,
qwen,yelp,mariadb,309–435,0,,
gpt2xl,yelp,mariadb,435–461,0,,
qwen,yelp,mariadb,435–461,0,,
gpt2xl,yelp,mariadb,461–488,0,,
qwen,yelp,mariadb,461–488,0,,
gpt2xl,yelp,mariadb,488–662,0,,
qwen,yelp,mariadb,488–662,0,,
gpt2xl,yelp,mysql,67–76,0,,
qwen,yelp,mysql,67–76,0,,
gpt2xl,yelp,mysql,76–137,4,132.75,0.0
qwen,yelp,mysql,76–137,29,130.97,6.896552
gpt2xl,yelp,mysql,137–220,120,159.87,0.0
qwen,yelp,mysql,137–220,99,148.44,18.181818
gpt2xl,yelp,mysql,220–309,0,,
qwen,yelp,mysql,220–309,0,,
gpt2xl,yelp,mysql,309–435,0,,
qwen,yelp,mysql,309–435,0,,
gpt2xl,yelp,mysql,435–461,0,,
qwen,yelp,mysql,435–461,0,,
gpt2xl,yelp,mysql,461–488,0,,
qwen,yelp,mysql,461–488,0,,
gpt2xl,yelp,mysql,488–662,0,,
qwen,yelp,mysql,488–662,0,,
